mkt_backend  | 2026-07-08 11:08:48,512 INFO sqlalchemy.engine.Engine SELECT tickets.ticket_id, tickets.zammad_ticket_id, tickets.site_id, tickets.device_id, tickets.title, tickets.description, tickets.reporter_name, tickets.reporter_email, tickets.category, tickets.severity, tickets.status, tickets.confidence_score, tickets.ai_analysis, tickets.ai_recommendation, tickets.sop_reference, tickets.root_cause, tickets.tier_level, tickets.escalated, tickets.escalated_to, tickets.escalated_at, tickets.resolution, tickets.resolved_at, tickets.resolved_by, tickets.sla_deadline, tickets.sla_breached, tickets.raw_data, tickets.telegram_message_id, tickets.created_at, tickets.updated_at 
mkt_backend  | 2026-07-08 11:08:48,514 INFO sqlalchemy.engine.Engine SELECT tickets.ticket_id, tickets.zammad_ticket_id, tickets.site_id, tickets.device_id, tickets.title, tickets.description, tickets.reporter_name, tickets.reporter_email, tickets.category, tickets.severity, tickets.status, tickets.confidence_score, tickets.ai_analysis, tickets.ai_recommendation, tickets.sop_reference, tickets.root_cause, tickets.tier_level, tickets.escalated, tickets.escalated_to, tickets.escalated_at, tickets.resolution, tickets.resolved_at, tickets.resolved_by, tickets.sla_deadline, tickets.sla_breached, tickets.raw_data, tickets.telegram_message_id, tickets.created_at, tickets.updated_at 
mkt_backend  | 2026-07-08 11:08:48,516 INFO sqlalchemy.engine.Engine SELECT tickets.ticket_id, tickets.zammad_ticket_id, tickets.site_id, tickets.device_id, tickets.title, tickets.description, tickets.reporter_name, tickets.reporter_email, tickets.category, tickets.severity, tickets.status, tickets.confidence_score, tickets.ai_analysis, tickets.ai_recommendation, tickets.sop_reference, tickets.root_cause, tickets.tier_level, tickets.escalated, tickets.escalated_to, tickets.escalated_at, tickets.resolution, tickets.resolved_at, tickets.resolved_by, tickets.sla_deadline, tickets.sla_breached, tickets.raw_data, tickets.telegram_message_id, tickets.created_at, tickets.updated_at 
mkt_backend  | 2026-07-08 11:08:48,518 INFO sqlalchemy.engine.Engine SELECT tickets.ticket_id, tickets.zammad_ticket_id, tickets.site_id, tickets.device_id, tickets.title, tickets.description, tickets.reporter_name, tickets.reporter_email, tickets.category, tickets.severity, tickets.status, tickets.confidence_score, tickets.ai_analysis, tickets.ai_recommendation, tickets.sop_reference, tickets.root_cause, tickets.tier_level, tickets.escalated, tickets.escalated_to, tickets.escalated_at, tickets.resolution, tickets.resolved_at, tickets.resolved_by, tickets.sla_deadline, tickets.sla_breached, tickets.raw_data, tickets.telegram_message_id, tickets.created_at, tickets.updated_at 
mkt_backend  | 2026-07-08 11:08:48,519 INFO sqlalchemy.engine.Engine SELECT tickets.ticket_id, tickets.zammad_ticket_id, tickets.site_id, tickets.device_id, tickets.title, tickets.description, tickets.reporter_name, tickets.reporter_email, tickets.category, tickets.severity, tickets.status, tickets.confidence_score, tickets.ai_analysis, tickets.ai_recommendation, tickets.sop_reference, tickets.root_cause, tickets.tier_level, tickets.escalated, tickets.escalated_to, tickets.escalated_at, tickets.resolution, tickets.resolved_at, tickets.resolved_by, tickets.sla_deadline, tickets.sla_breached, tickets.raw_data, tickets.telegram_message_id, tickets.created_at, tickets.updated_at 
mkt_backend  | 2026-07-08 11:08:48,521 INFO sqlalchemy.engine.Engine SELECT tickets.ticket_id, tickets.zammad_ticket_id, tickets.site_id, tickets.device_id, tickets.title, tickets.description, tickets.reporter_name, tickets.reporter_email, tickets.category, tickets.severity, tickets.status, tickets.confidence_score, tickets.ai_analysis, tickets.ai_recommendation, tickets.sop_reference, tickets.root_cause, tickets.tier_level, tickets.escalated, tickets.escalated_to, tickets.escalated_at, tickets.resolution, tickets.resolved_at, tickets.resolved_by, tickets.sla_deadline, tickets.sla_breached, tickets.raw_data, tickets.telegram_message_id, tickets.created_at, tickets.updated_at 
mkt_backend  | 2026-07-08 11:08:48,523 INFO sqlalchemy.engine.Engine SELECT tickets.ticket_id, tickets.zammad_ticket_id, tickets.site_id, tickets.device_id, tickets.title, tickets.description, tickets.reporter_name, tickets.reporter_email, tickets.category, tickets.severity, tickets.status, tickets.confidence_score, tickets.ai_analysis, tickets.ai_recommendation, tickets.sop_reference, tickets.root_cause, tickets.tier_level, tickets.escalated, tickets.escalated_to, tickets.escalated_at, tickets.resolution, tickets.resolved_at, tickets.resolved_by, tickets.sla_deadline, tickets.sla_breached, tickets.raw_data, tickets.telegram_message_id, tickets.created_at, tickets.updated_at 
mkt_backend  | 2026-07-08 11:08:48,525 INFO sqlalchemy.engine.Engine SELECT tickets.ticket_id, tickets.zammad_ticket_id, tickets.site_id, tickets.device_id, tickets.title, tickets.description, tickets.reporter_name, tickets.reporter_email, tickets.category, tickets.severity, tickets.status, tickets.confidence_score, tickets.ai_analysis, tickets.ai_recommendation, tickets.sop_reference, tickets.root_cause, tickets.tier_level, tickets.escalated, tickets.escalated_to, tickets.escalated_at, tickets.resolution, tickets.resolved_at, tickets.resolved_by, tickets.sla_deadline, tickets.sla_breached, tickets.raw_data, tickets.telegram_message_id, tickets.created_at, tickets.updated_at 
mkt_backend  | 2026-07-08 11:08:48,526 INFO sqlalchemy.engine.Engine SELECT tickets.ticket_id, tickets.zammad_ticket_id, tickets.site_id, tickets.device_id, tickets.title, tickets.description, tickets.reporter_name, tickets.reporter_email, tickets.category, tickets.severity, tickets.status, tickets.confidence_score, tickets.ai_analysis, tickets.ai_recommendation, tickets.sop_reference, tickets.root_cause, tickets.tier_level, tickets.escalated, tickets.escalated_to, tickets.escalated_at, tickets.resolution, tickets.resolved_at, tickets.resolved_by, tickets.sla_deadline, tickets.sla_breached, tickets.raw_data, tickets.telegram_message_id, tickets.created_at, tickets.updated_at 
mkt_backend  | 2026-07-08 11:08:49,997 INFO sqlalchemy.engine.Engine SELECT tickets.ticket_id, tickets.zammad_ticket_id, tickets.site_id, tickets.device_id, tickets.title, tickets.description, tickets.reporter_name, tickets.reporter_email, tickets.category, tickets.severity, tickets.status, tickets.confidence_score, tickets.ai_analysis, tickets.ai_recommendation, tickets.sop_reference, tickets.root_cause, tickets.tier_level, tickets.escalated, tickets.escalated_to, tickets.escalated_at, tickets.resolution, tickets.resolved_at, tickets.resolved_by, tickets.sla_deadline, tickets.sla_breached, tickets.raw_data, tickets.telegram_message_id, tickets.created_at, tickets.updated_at 
